City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
9,Xapuri,BR,74.88,overcast clouds,-10.6517,-68.5044,Pousada dos Chapurys
45,Aguimes,ES,63.23,broken clouds,27.9054,-15.4461,Hotel Villa de Aguimes
58,Luderitz,,60.48,clear sky,-26.6481,15.1594,LÜDERITZ NEST HOTEL
62,Te Anau,NZ,72.41,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
88,Aracruz,BR,74.41,scattered clouds,-19.8203,-40.2733,OYO Hotel Iramar
137,Airai,TL,76.98,broken clouds,-8.9266,125.4092,Juvinal Martin
180,Arraial Do Cabo,BR,72.86,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
188,Nelson Bay,AU,79.77,few clouds,-32.7167,152.15,Mantra Nelson Bay
231,Ribeira Grande,PT,64.33,clear sky,38.5167,-28.7,Quinta da Meia Eira
250,Lingao,CN,70.79,scattered clouds,19.9103,109.6859,Lingao Ditai Inn
270,Amarante Do Maranhao,BR,74.64,overcast clouds,-5.5667,-46.7422,Hotéis Caçulinha
275,Teahupoo,PF,76.96,overcast clouds,-17.8333,-149.2667,Vanira Lodge
280,Kruisfontein,ZA,63.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
287,Bosaso,SO,77.38,clear sky,11.2842,49.1816,Red Sea Hotel
312,Trinidad,BO,73.53,overcast clouds,-14.8333,-64.9,Hotel Piesta
323,Sao Joao Da Barra,BR,71.44,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
352,Benjamin Constant,BR,75.33,overcast clouds,-4.3831,-70.0311,CASA AVALIADA
369,Camacha,PT,61.56,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
370,Obuasi,GH,71.8,broken clouds,6.206,-1.6619,Mawuli Hotel
422,Sambava,MG,78.93,light rain,-14.2667,50.1667,Melrose
429,Yenagoa,NG,76.14,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
430,Marsh Harbour,BS,74.57,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
475,Florianopolis,BR,69.37,broken clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
478,Christchurch,NZ,64.02,broken clouds,-43.5333,172.6333,The George
519,Kapiri Mposhi,ZM,73.35,few clouds,-13.9652,28.6809,MA 22 LODGE
545,Phu Ly,VN,72.75,scattered clouds,20.5411,105.9139,5 Star Apartment Central Phu Ly
557,San Quintin,MX,60.62,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
580,Ixtapa,MX,75.22,few clouds,20.7,-105.2,Hotel Plaza Providencia
599,Mercedes,AR,63.84,clear sky,-34.6515,-59.4307,Posada del Inti Centro
620,Soyo,AO,77.81,light rain,-6.1349,12.3689,Hotel Mpampa
626,Manaure,CO,78.93,scattered clouds,11.7751,-72.4445,Hotel Palaaima
629,Kalemie,CD,70.11,light rain,-5.9475,29.1947,Mahobilali
630,Puerto Carreno,CO,79.5,light rain,6.189,-67.4859,Casa Hotel Victoria
635,Pozo Colorado,PY,74.39,scattered clouds,-23.4923,-58.7972,Hospedaje la Amistad
640,Imbituba,BR,71.82,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
649,Amahai,ID,79.54,heavy intensity rain,-3.3333,128.9167,HOTEL ISABELA
658,Mundra,IN,72.57,clear sky,22.85,69.7333,Hotel Bansidhar Palace
659,Fuerte Olimpo,PY,77.58,overcast clouds,-21.0415,-57.8738,Hospedaje DAMI
671,Franca,BR,65.25,clear sky,-20.5386,-47.4008,Imperador Palace Hotel
674,Mayumba,GA,75.78,light rain,-3.432,10.6554,LIKWALE LODGE
675,Carinhanha,BR,72.32,overcast clouds,-14.3047,-43.765,Hotel União
677,Aswan,EG,60.1,clear sky,24.0934,32.907,Nuba Nile
678,Along,IN,76.05,overcast clouds,28.1667,94.7667,Hotel West
685,Bafq,IR,63.12,overcast clouds,31.6128,55.4107,Alamdar Hotel
688,Pitimbu,BR,79.39,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
689,Inongo,CD,70.45,overcast clouds,-1.95,18.2667,Hotel Du Lac
691,Shiyan,CN,63.41,clear sky,32.6475,110.7781,Fenghuang Garden Holiday Hotel
692,Beihai,CN,67.96,scattered clouds,21.4833,109.1,21 Degree Hostel
693,Gat,IL,63.09,broken clouds,31.61,34.7642,OlusHome
698,Anori,BR,71.56,overcast clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
